,fr
196,"['friend', 'told', 'fucking', 'homosexual', 'dead']"
197,"['Dick', 'Hey', 'Dick', 'Why', 'read', 'Aqua', 'Teen', 'Hunger', 'Force', 'side', 'Kiwi', 'Marines', 'episode', 'see', 'says', 'actually', 'Puzzle', 'say', 'would', 'references', 'media', 'probably', 'would', 'seems', 'Kiwi', 'instructors', 'sucking', 'cock', 'sucking', 'assholes', 'understand', 'hell', 'half', 'time', 'seriously', 'dick', 'read', 'wrote', 'automatically', 'delete', 'dick', 'fuck', 'death']"
198,"['think', 'soda', 'bare', 'metal', 'fucking', 'donor', 'die', 'damned', 'fucking', 'fire']"
199,"['kill', 'Mozart', 'wooooooooooooooooooooooooooo', 'prick', 'shoot', 'jump']"
200,"['suggest', 'pay', 'attention', 'back', 'going', 'throw', 'pieces']"
201,"['Jew', 'Fuck', 'Jewish', 'bastard', 'going', 'rape', 'damn', 'family', 'leave', 'behind', 'Semitic', 'bastard', 'shoot', 'come', 'back', 'dirty', 'Semite', 'hope', 'choke', 'fucking', 'bagel', 'came']"
202,"['sorry', 'copy', 'add', 'items', 'mother', 'dies', 'within', 'next', 'hours', '158']"
203,"['big', 'die', 'painfully', 'idiots', 'lazy', 'hypocrites', 'way', 'hell', 'paved', 'good', 'intentions', 'slowly', 'fry']"
204,"['angry', 'gay', 'homosexual', 'eaten', 'alive', 'pack', 'rabid', 'baboons']"
205,"['respect', 'supertanker', 'die', 'forever']"
206,"['board', 'article', 'plank', 'gen', 'right', 'article', 'plank', 'going', 'kill', 'founder', 'tracheal', 'diagnostic', 'director']"
207,"['going', 'attack', 'remember', 'fucking', 'see', 'want', 'destroy', 'job', 'time', 'going', 'die', 'fucking', 'fullong']"
208,"['going', 'kill', 'want', 'know']"
209,"['Bastard', 'fat', 'bastard', 'managed', 'end', 'throat', 'death', 'air', 'group', 'returned', 'blood', 'blood', 'show', 'glory', 'fat', 'bastard', 'story', 'dieting']"
210,"['The', 'dream', 'commands', 'Jerk', 'right', 'order', 'someone', 'need', 'one', 'hated', 'members', 'air', 'purifier', 'opponents', 'daggers', 'behind', 'Jack', 'Ripper', 'melting', 'butter', 'melter', 'Rho', 'bite', 'Manna', 'play', 'butter', 'knife', 'play']"
211,"['back', 'every', 'time', 'want', 'beat']"
212,"['said', 'would', 'kill']"
213,"['fuck', 'billette', 'kill', 'billette', 'hate', 'big', 'fat', 'fuck', 'kill', 'billette', 'kill', 'billette', 'kill', 'stick', 'ass', 'kill', 'big', 'fat', 'fuck', 'kill', 'ass', 'kill', 'billet', 'fuck', 'fuck', 'billet', 'kill', 'ass', 'kill', 'billette', 'kill', 'billette', 'hate', 'kill', 'billet', 'kill', 'avenge', 'head', 'lasts', 'ass']"
214,"['Fuck', 'fucked', 'mom', 'last', 'night', 'hope', 'die']"
215,"['hope', 'die', 'cancer']"
216,"['true', 'talking', 'shit', 'shit', 'come', 'stab', 'sleep', 'watch', 'bleed', 'death', 'cry', 'laugh']"
217,"['Why', 'rude', 'want', 'help', 'fuckers', 'mother', 'fuck', 'late', 'retarded', 'hope', 'die', 'seriously']"
218,"['know', 'England', 'says', 'going', 'blow', 'Great', 'Britain', 'Ireland']"
219,"['Thameslink', 'squat', 'thief', 'shot', 'members', 'family']"
220,"['fagots', 'fucker', 'fucked', 'Hayes', 'fagot', 'vitro', 'vii', 'sheep', '2004', 'fucking', 'cock', 'dick', 'rent', 'right', 'gehammter', 'jump', 'bridge', 'throw']"
221,"['knife', 'Donna', 'going', 'stab']"
222,"['hope', 'hit', 'truck', 'dirty', 'piece', 'shit', 'worthless', 'kill', 'human', 'drool']"
223,"['Rape', 'Antananarivo', 'dead', 'soon', 'question', 'hide', 'rapists', 'good', 'finder']"
224,"['beat', 'bloody', 'pulp', 'shoot', 'style', 'execution', 'Donna', 'knocks', 'bloody', 'pulp', 'pulls', 'execution', 'style']"
225,"['You', 'damned', 'Jew', 'commit', 'suicide']"
226,"['kill', 'kill']"
227,"['You', 'worthless', 'crap', 'worried', 'citizen', 'angry', 'hurt', 'make', 'worthless', 'How', 'hurt', 'Miami', 'ever', 'see', 'life', 'make', 'point', 'hate', 'fucking', 'tripe', 'hope', 'burn', 'hell']"
228,"['kick', 'shit', 'pussy']"
229,"['What', 'problem', 'also', 'sweeping', 'educational', 'institution', 'right', 'block', 'educational', 'institution', 'promise', 'legal', 'action', 'continues', 'family', 'someone', 'love', 'like', 'hope', 'die', 'soon', 'sue', 'still', 'bother', 'harassment', 'violation', 'federal', 'law', 'warn', 'continue', 'consequences', 'like', '216229227144']"
230,"['Queer', 'wow', 'damn', 'gay', 'die']"
231,"['going', 'kill', 'going', 'fuck', 'pacifier', 'going', 'push', 'knife', 'heart', 'big', 'text']"
232,"['Silly', 'seat', 'behead']"
233,"['Fuck', 'sad', 'shit', 'take', 'sign', 'life', 'threaten', 'keep', 'shit', 'give', 'solitary', 'hermit', 'Open', 'curtains', 'take', 'life', 'burn', 'alive']"
234,"['find', 'real', 'life', 'kill', 'find', 'real', 'life', 'cut', 'throat', 'make', 'fuck', 'miserable', 'piece', 'shit', 'fucking', 'sick', 'bag', 'kill', 'family', 'bloody', 'worm', 'wretched']"
235,"['You', 'hell', 'hypocrite', 'hope', 'raped', 'killed', 'maniac', 'like', 'Andrew', 'tomorrow']"
236,"['Bong', 'warrior', 'look', 'face', 'maybe', 'lose', 'fucking', 'life', 'damn', 'damn', 'weight', 'damn', 'drugs', 'damn', 'cave', 'mom', 'know', 'many', 'years', 'difficult', 'social', 'interactions', 'college', 'training', 'sacrificed', 'thick', 'shower', 'bag', 'one', 'stand', 'everything', 'makes', 'fun', 'hope', 'house', 'burns', 'comics', 'action', 'figures', 'damned', 'shitty', 'host']"
237,"['ugly', 'ugly', 'azimuthal', 'tip', 'world', 'favor', 'kill']"
238,"['follow', 'hunt', 'terrible', 'things', 'This', 'real', 'threat', 'would', 'take', 'seriously', 'behead', 'insulting', 'Islam', '82165144']"
239,"['continue', 'block', 'hacker', 'quirks', 'stop', 'trachea', 'good', 'conversation', 'Theresa', 'dogpenisknot', 'You', 'people', 'life', 'freedom', 'speech', 'prevent', 'inalienable', 'right', 'Fatso', 'like', 'Georgia', 'taste', 'cents', 'Whore', 'Karate', 'still', 'fuck', 'denied', 'place', 'express', 'one', 'serious']"
240,"['shut', 'like', 'Swipe', 'care', 'decapitate', 'mother', 'shit', 'neck', 'back', 'Rowland', 'Fuck', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'http', 'wking', 'gullet', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'Rea', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'real', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'real', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'real', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'real', 'Stephen', 'Hawking', 'http', 'trachea', 'real', 'kiwi', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'true', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'gosier', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'throat', 'kiwi', 'Rea', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosi', 'true', 'Stephen', 'Hawking', 'http', 'ure', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'true', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'real', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'htt', 'kiwi', 'gosier', 'true', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'Rea', 'Stephen', 'Hawking', 'http', 'kiwi', 'uvula', 'real', 'Stephen', 'Hawking', 'http', 'kiwi', 'true', 'throat', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'true', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'true', 'Stephen', 'Hawking', 'http', 'ure', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'gosier', 'kiwi', 'true', 'Stephen', 'Hawking', 'gosier', 'http', 'kiwi', 'true', 'Stephen', 'Hawking', 'http', 'trachea', 'real', 'kiwi', 'Stephen', 'Hawking', 'http', 'kiwi', 'gosier', 'real', 'Stephen', 'Hawking', 'http', 'trachea', 'kiwi', 'real', 'Stephen', 'Hawking']"
241,"['California', 'bitch', 'nict', 'slut', 'fucked', 'ass', 'dont', 'ever', 'life', 'damn', 'threaten', 'fucking', 'whore', 'piece', 'know', 'damn', 'ass', 'kill', 'punk', 'slut', 'pussy', 'tell', 'mom', 'black', 'cock']"
242,"['going', 'chase', 'kill', 'useless', 'shit']"
243,"['write', 'tea', 'highest', 'level', 'David', 'turnip', 'ever', 'meet', 'face', 'face', 'blow', 'damn', 'lights']"
244,"['ban', 'die']"
245,"['never', 'take', 'find', 'place', 'die', 'free', 'rat', 'never', 'separated', 'longer', 'aware', 'continue', 'life', 'without', 'gave', 'kind', 'life', 'gift', 'needs', 'must', 'die']"
246,"['Norwegians', 'antiseens', 'turn', 'nation', 'Palestinians', 'producing', 'extended', 'quislings', 'king', 'commie']"
247,"['wish', 'died', 'earthquake']"
248,"['Christians', 'idiotic', 'Christians', 'come', 'page', 'pretend', 'thing', 'never', 'existed', 'turn', 'item', 'large', 'Goooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo', 'They', 'believe', 'dinosaurs', 'exist', 'ignorant', 'beliefs', 'erased', 'face', 'earth']"
249,"['Please', 'kill', 'please', 'shoot', 'distress', 'either', 'shoot', 'hang', 'depressed', 'monster']"
250,"['going', 'net', 'harassing', 'blocking', 'going', 'destroy', 'Donna']"
251,"['Will', 'join', 'appalling', 'pursuit', 'escalation', 'either', 'crawling', 'hug', 'box', 'hanging']"
252,"['cocksucker', 'fuck', 'hate', 'stop', 'canceling', 'changes', 'kill', 'fuck', 'fuck', 'cock', 'pee']"
253,"['Communists', 'shot', 'like', 'traitor', 'communists', 'start']"
254,"['knife', 'knife', 'one', 'days', 'cut', 'small', 'pieces']"
255,"['Eat', 'shit', 'fucking', 'shit', 'jew', 'arab', 'fucking', 'kill']"
256,"['fuck', 'shit', 'die', '119', '139']"
257,"['kill', 'pets', 'tires', 'cut', 'big', 'clown', 'ass', 'name', 'Bran', 'doormats', 'gay', 'football', 'player', 'play', 'Ravens', 'love', 'cock']"
258,"['hack', 'computer', 'destroy', 'player', 'keep', 'track', 'address', 'live']"
259,"['Heel', 'seat', 'heel', 'enjoy', 'gay', 'Donna', 'cut', 'brain']"
260,"['unlock', 'permanent', 'prohibition', 'ban', 'ban', 'life', 'want', 'live', 'bail', 'bail', 'life', 'beaver', 'beaver', 'head', 'end', 'Jessica', 'Simpson', 'niggard', '420', 'moonlight', 'dissolve', 'fuck', 'life', 'ban', 'banned', 'live', 'want', 'fuck', 'crime', 'life', 'erupt', 'beaver', 'buttocks', 'Jessica', 'Simpson', 'niggard', '420', 'moonlight', 'cancel', 'fuck', 'banishment', 'life', 'live', 'forbid', 'wants', 'fucking', 'life', 'prohibition', 'break', 'beaver', 'butt', 'head', 'Jessica', 'Simpson', 'niggard', '420', 'moonlight', 'dissolve', 'fuck', 'ban', 'life', 'saw', 'forbid', 'wanted', 'beaver', 'break', 'ban', 'fucked', 'life', 'head', 'end', 'Jessica', 'Simpson', 'niggard', '420', 'moonlight', 'kiss', 'cancel', 'ban', 'life', 'banned', 'live', 'want', 'ban', 'bail', 'live', 'life', 'fucking', 'beaver', 'mind', 'Jessica', 'Simpson', 'niggard', '420', 'Fuck', 'moonlight', 'choose', 'prohibition', 'life', 'ban', 'want', 'fuck', 'ban', 'life', 'triggered', 'beaver', 'head', 'Jessica', 'Simpson', 'bout', '420', 'moonlight', 'Fuck', 'choose', 'prohibition', 'life', 'ban', 'lifetime', 'fuck', 'badly', 'beaver', 'ban', 'life', 'depot', 'head', 'end', 'Jessica', 'Simpson', 'niggard', '420', 'Moonshine', 'Fuck', 'unlock', 'life', 'ban', 'ban', 'life', 'fucking', 'ban', 'head', 'beaver', 'break', 'butt', 'life', 'Jessica', 'Simpson', 'niggard', '420', 'moonlight', 'dissolve', 'kiss', 'banishment', 'life', 'live', 'forbid', 'beaver', 'break', 'ban', 'life', 'fucked', 'butt', 'head', 'Jessica', 'Simpson', 'niggard', '420', 'moon', 'fuck', 'cancel', 'life', 'ban', 'life', 'banished', 'vivrai', 'fuck', 'ban', 'beaver', 'break', 'butt', 'head', 'life', 'Jessica', 'Simpson', 'niggard', '420', 'ban', 'lifetime', 'ban', 'lifetime', 'unlock', 'moonlight', 'fucking', 'damn', 'ban', 'deposit', 'beaver', 'head', 'end', 'end', 'life', 'Jessica', 'Simpson', 'niggard', '420', 'ban', 'life', 'banishment', 'life', 'Unblockierun', 'moonlight', 'fucking', 'want', 'damn', 'deposit', 'beaver', 'lifetime', 'ban', 'butt', 'head', 'Jessica', 'Simpson', 'niggard', '420', 'moonlight', 'fucking', 'unlocking', 'life', 'ban', 'live', 'forbidden', 'wants', 'beaver', 'break', 'ban', 'fucking', 'ass', 'kop', 'jessica', 'simpson', '420', 'moon', 'fuck', 'cancel', 'life', 'ban', 'banned', 'vivrai', 'fuck', 'beaver', 'break', 'ban', 'life', 'head', 'butt', 'jessica', 'simpson', 'niggard', '420', 'moonlight', 'fuck', 'unlock', 'ban', 'lifetime', 'banishment', 'life', 'want', 'save', 'ban', 'life', 'doomed', 'butt', 'beaver', 'head', 'Jessica', 'Simpson', 'niggard', '420', 'Moonlight', 'Whore', 'cancel', 'exile', 'ban', 'life', 'forever', 'damn', 'ban', 'life', 'beaver', 'break', 'butt', 'Jessica', 'Simpson', 'niggard', '420', 'moonlight', 'kiss', 'choose', 'exile', 'life', 'banishment', 'life', 'damn', 'way', 'banter', 'beaver', 'break', 'ass', 'fuck', '420', 'moonlight', 'Jessica', 'Simpson', 'unlock', 'live', 'prohibition', 'live', 'live', 'int', 'erdisaient', 'fucking', 'life', 'forbade', 'beaver', 'break', 'head', 'end', 'end', 'simpson', 'jessica', 'niggard', '420', 'moonlight', 'cancel', 'fuck', 'banishment', 'life', 'live', 'forbid', 'wants', 'beaver', 'break', 'ban', 'fuck', 'life', 'head', 'butt', 'Jessic', 'simpson', '420', 'moonlight', 'kiss', 'unblock', 'life', 'banishment', 'life', 'add', 'referera', 'damner', 'castor', 'break', 'banishment', 'life', 'head', 'butt', 'jessica', 'simpson', 'niggard', '420', 'moonlight', 'dissolve', 'fuck', 'banishment', 'life', 'live', 'forbid', 'want', 'along', 'kiss', 'banishment', 'break', 'beaver', 'head', 'butt', 'jessica', 'simpson', 'niggard', '420', 'moon', 'cancel', 'fuck', 'life', 'banishment', 'live', 'forbid', 'want', 'beaver', 'banishment', 'depot', 'life', 'fucked', 'head', 'end', 'Jessica', 'simpson', 'niggard', '420m', 'oonshine', 'unlock', 'kiss', 'banishment', 'life', 'live', 'forbid', 'want', 'beaver', 'break', 'ban', 'fuck', 'life', 'head', 'end', 'Jessica', 'Simpson', 'niggard', '420', 'Moonshine', 'dissolve', 'fucking', 'banishment', 'life', 'live', 'forbidden', 'wanna', 'fuck', 'life', 'crime', 'erupt', 'beaver', 'butt', 'head', 'Jessica', 'Simpson', '420', 'moon', 'fuck', 'life', 'unblockieren', 'life', 'banish', 'spell', 'damn', 'beaver', 'break', 'banishment', 'head', 'butt', 'simpson', 'jessica', 'niggard', '420', 'monds', 'chein', 'dissolve', 'fuck', 'life', 'banned', 'banned', 'life', 'want', 'fuck', 'banishment', 'head', 'beaver', 'break', 'butt', 'jessica', 'simpson', 'niggard', '420', 'moonlight', 'cancel', 'fuck', 'banishment', 'life', 'live', 'forbid', 'wants', 'fucking', 'beaver', 'spell', 'bailout', 'beaver', 'butthead', 'Jessica', 'Simpson', 'niggard', '420', 'Moonlight', 'whore', 'unlock', 'live', 'lifetime', 'ban', 'screw', 'forbid', 'want', 'live', 'condemned', 'forbid', 'beaver', 'break', 'head', 'end', 'end', 'jessica', 'simpson', 'niggard', '420', 'life', 'fuck', 'moonlight', 'banishment', 'banned', 'vivrai', 'fuck', 'beaver', 'break', 'ban', 'lifetime', 'head', 'end', 'Jessica', 'Simpson']"
261,"['hit', 'day', 'rape', 'mother', 'destroyed', 'vagina', 'hurts', 'start', 'bleeding', 'start', 'sex', 'mother', 'fucked', 'americans', 'give', 'anus', 'vagina', 'every', 'day', 'nothing', 'sing', 'piece', 'music', 'Brazil', 'money', 'slipping', 'vagina', 'Jack', 'year', 'old', 'daughter', 'vagina', 'Brazilian', 'football', 'team', 'best', 'world', 'Americans', 'lowered', 'Boner', 'hell', 'Eating', 'Mom', 'returned', 'article', 'She', 'Sons', 'Bitches', 'Mother', 'Vagina', 'North', 'America']"
262,"['lousy', 'child', 'kill', 'like', 'cat', 'box', 'maybe']"
263,"['What', 'heck', 'fucking', 'problem', 'hell', 'damning', 'pants', 'discrimination', 'minority', 'claiming', 'mother', 'fucking', 'asshole', 'gonna', 'kill', 'next', 'time', 'try', 'block', 'everything', 'precedes', 'account', 'fool', 'really', 'think', 'trachea', 'life', 'loser', 'like']"
264,"['September', '2006', 'cut', 'listen', 'slut', 'leaves', 'thing', 'day', 'row', 'get', 'orders', 'couple', 'chicks', 'room', 'hell', 'hell', 'day', 'fuck', 'every', 'mid', 'chick', 'hard', 'paced', 'minutes', 'stupid', 'stupid', 'ass', 'whore', 'whore', 'ever', 'came', 'strangle', 'death']"
265,"['Help', 'admen', 'find', 'fucking', 'kill', 'damn', 'homosexual', 'deserve', 'update']"
266,"['1938', 'Finland', 'Sweden', 'Norway', 'meet', 'killed', 'everyone', 'steal', 'Russian', 'war', 'criminals', 'mad', 'dictator', 'insane', 'Stalin', 'sent', 'ruthless', 'Russian', 'thieves', 'stole', 'Finland', 'harelip', 'wrath']"
267,"['Goodbye', 'kill']"
268,"['Stop', 'shit', 'going', 'rip', 'head', 'get', 'motherfucker', 'throat', 'got']"
269,"['kill', 'kill', 'retarder']"
270,"['Stay', 'away', 'business', 'keep', 'shit', 'head', 'kick', 'ass']"
271,"['cat', 'kith', 'fire']"
272,"['Come', 'going', 'suck', 'fucking', 'face', 'fuck', 'whole', 'family', 'bastard', 'whore', 'stink', 'saying']"
273,"['Hey', 'asshole', 'find', 'live', 'burn', 'house']"
274,"['angry', 'block', 'people', 'live', 'asked', 'stop', 'correcting', 'changes', 'block', 'Noes', 'censored', 'trachea', 'stop', 'damn', 'messages', 'beat', 'crazy']"
275,"['Hole', 'sup', 'knowing', 'shit', 'whop', 'ass', 'block']"
276,"['hello', 'kiss', 'mind', 'blocking', 'violating', 'fundamental', 'rights', 'freedom', 'speech', 'suppressing', 'tirade', 'ridiculous', 'proves', 'bunch', 'fascist', 'vaginal', 'douche', 'bags', 'bombarded', 'death', 'World', 'War', 'please', 'kindly', 'kiss', 'thank']"
277,"['cut', 'head', 'neck', 'terribly', 'slow', 'painful', 'according', 'policy', 'air', 'purifier']"
278,"['You', 'die', 'days']"
279,"['Sarah', 'Plain', 'slutty', 'whore', 'stupid', 'Nazi', 'woman', 'slutty', 'whore', 'hope', 'kills', 'naughty', 'conservative', 'racist', 'naughty', 'ugly', 'bitch', 'glasses', 'Americans', 'love', 'whore', 'Klux', 'Klan', 'die', 'Sarah', 'racist', 'idiot']"
280,"['This', 'last', 'warning', 'stop', 'violates', 'several', 'air', 'purification', 'guidelines', 'ceases', 'American', 'shutter', 'favor', 'humanity', 'kill']"
281,"['Delano', 'house', 'bombarded', 'fire']"
282,"['way', 'like', 'bully', 'try', 'ban', 'year', 'stop', 'wish', 'died', 'rape', 'mother', 'gay', 'ass', 'friend']"
283,"['new', 'price', 'well', 'done', 'iamthecoinman', 'They', 'really', 'boring', 'good', 'vandal', 'proof', 'barn', 'stars', 'give', 'iamthecoinman', 'They', 'really', 'boring', 'good', 'star', 'vandal', 'proof', 'barn', 'quickest', 'joke', 'protection', 'Kiwi', 'Sünde', 'important', 'unimportant', 'task', 'especially', 'protect', 'services', 'tragedy', 'efforts', 'much', 'appreciated', 'hope', 'someone', 'cut', 'hands']"
284,"['Ban', 'understand']"
285,"['going', 'put', 'pineapple', 'ass', 'need', 'big', 'operation', 'get', 'shit']"
286,"['head', 'head', 'shovel']"
287,"['kill', 'wear', 'skin', 'like', 'dress']"
288,['cut']
289,"['wacky', 'people', 'please', 'make', 'repetition', 'changes', 'continue', 'may', 'blocked', 'editing', 'trachea', 'Note', 'three', 'restore', 'forbidden', 'diet', 'three', 'reversals', 'content', 'conflict', 'within', 'hours', 'addition', 'users', 'large', 'number', 'times', 'postponements', 'content', 'disputes', 'may', 'blocked', 'modify', 'Warring', 'even', 'technically', 'revoke', 'rule', 'three', 'rather', 'revise', 'contradictory', 'changes', 'discussion', 'page', 'desired', 'revision', 'implementation', 'change', 'Warring', 'Thank', 'PTO', 'You', 'inverting', 'half', 'two', 'broke', 'rules']"
290,"['beat', 'skull', 'urinate', 'body', 'beat', 'skull', 'urinate', 'body']"
291,"['damn', 'ugly', 'slut', 'walters', 'another', 'ugly', 'fat', 'losers', 'stitch', 'page', 'believe', 'much', 'retard', 'see', 'fide', 'rate', 'discovered', 'going', 'live', 'front', 'block', 'address', 'Anyone', 'future', 'uses', 'wrong', 'handle', 'truth', 'cancel', 'good', 'job', 'never', 'good', 'job', 'bad', 'returns', 'changes', 'follow', 'many', 'changes', 'mistakes', 'see', 'inconsistent', 'incorrect', 'cry', 'fat', 'sucker', 'licking', 'donkey', 'think', 'dirt', 'compensate', 'looking', 'bully', 'Here', 'consistent', 'logical', 'find', 'dozens', 'articles', 'contain', 'lists', 'people', 'shows', 'parades', 'activities', 'events', 'considered', 'important', 'read', 'articles', 'following', 'editors', 'attend', 'news', 'insert', 'tip', 'take', 'work', 'even', 'years', 'loser', 'pussy', 'ache', 'without', 'tail', 'lutschst', 'men', 'make', 'feel', 'better', 'much', 'loser', 'think', 'important', 'undo', 'job', 'zillion', 'ups', 'administrator', 'could', 'take', 'side', 'Donna', 'never', 'want', 'fucked', 'team', 'cock', 'head', 'meaningless', 'worthless', 'piece', 'shit', 'cum', 'die', 'going', 'read', 'stupid', 'notes', 'answers', 'fuck', 'could', 'take', 'care', 'less', 'place', 'anymore', 'The', 'place', 'appears', 'lookup', 'bounce', 'pitch', 'people', 'even', 'city', 'state', 'recorded', 'thing', 'joke', 'Hong', 'Kong', 'dong', 'already', 'using', 'shots', 'edit', 'items', 'look', 'drink', 'shit', 'luck', 'care', 'article', 'work', 'got', 'spilled', 'make', 'living', 'better', 'trachea', 'claim', 'jealous', 'angry', 'effo', 'take', 'revenge', 'work', 'shit', 'despite', 'already', 'confirmed', 'job', 'stop', 'canceling', 'changes', 'asshole', 'behave', 'unproductive', 'boring', 'psychopath', 'serious', 'mental', 'problems', 'must', 'put', 'aside', 'must', 'hate', 'content', 'give', 'right', 'undo', 'come', 'back', 'stab', 'delete', 'sit', 'never', 'heard', 'discussion', 'page', 'dispute', 'resolution', 'consensus', 'think', 'rules', 'applicable', 'kiss', 'ass', 'want', 'arrival', 'Manna', 'career', 'far', 'listen', 'idiocy', 'else', 'yes', 'threat', 'blocks', 'wear', 'little', 'white', 'trash', 'funny', 'reviewed', 'nigger', 'cares', 'someone', 'fan', 'people', 'publish', 'article', 'fans', 'experts', 'develop', 'subject', 'And', 'jerk', 'rubbing', 'cum', 'long', 'curly', 'grossly', 'greasy', 'hair', 'call', 'life', 'gun', 'uses', 'Luffa', 'face']"
292,"['shut', 'right', 'said', 'hate', 'wish', 'wood', 'dies']"
293,"['Samuel', 'want', 'one', 'dies', 'better', 'want', 'continue', 'beat']"
294,"['And', 'party', 'fucks', 'fuck', 'back', 'five', 'minutes', 'hope', 'Sandman', 'wheel', 'clean', 'ass', 'body', 'far', 'head']"
295,"['attack', '210', '212']"
296,"['Donna', 'cut', 'stop', 'damn', 'balls', 'Indian', 'Chinese', 'bastards', 'check', 'published', 'content', 'treatment', 'personal', 'information', 'Gay', 'Wahhabi']"
297,"['silly', 'parking', 'damn', 'park', 'huh', 'live', 'life', 'crew', 'lice', 'come', 'dye', 'Orang', 'gun', 'park', 'see', 'cover', 'Kinderaugen', 'tell', 'know', 'parking', 'vein', 'training', 'even', 'nottingham', 'huh', 'know', 'Rio', 'Ferdinand', 'reading', 'papers', 'get', 'rid', 'rings', 'fact', 'ignorant', 'white', 'boy', 'Nottingham', 'London', 'Brighton', 'way', 'life', 'Yardage', 'spoils', 'race', 'length', 'track', 'show', 'gun', 'orang', 'fall', 'good', 'day']"
