,it
582,"['cont', 'fuck', 'trachea', 'admits', 'dirty', 'Jewish', 'conversations', 'double', 'bass']"
583,"['You', 'know', 'full', 'shit', 'fucking', 'cunt']"
584,"['push', 'Pakistani', 'pig', 'problem', 'cursed', 'Muslim', 'Pakistani', 'hell', 'envious', 'Hindus', 'Sikh', 'born', 'pig', 'shit', 'stay', 'away', 'article', 'prefer', 'Pakistani', 'Muslim', 'pigs', 'touch', 'pious', 'articles']"
585,"['thanks', 'arsenal', 'continues', 'ranking', 'projection', 'aircraft', 'see', 'directly', 'teat']"
586,"['sick', 'fucking', 'sick', 'seeing', 'asshole', 'face', 'asshole', 'piece', 'shit', 'suicide', '000', 'innocent', 'people', 'cock', 'sucks', 'big', 'dick', 'american', 'managed', 'offensive', 'article', 'victim', 'could', 'exhume', 'body', 'Mohammed', 'act', 'bring', 'back', 'life', 'would', 'leave', 'board', 'days']"
587,"['fuck', 'trachea', 'reason', 'pages', 'erased', 'stop', 'editing', 'suck', 'dick', 'sucking', 'dumb', 'ass', 'fuck', 'fuck', 'shit', 'die']"
588,"['fuck', 'camel', 'pussy', 'jockey', 'licks', 'beautiful', 'thick', 'suckers']"
589,"['fuck', 'goo', 'dog', 'clue', 'bot']"
590,"['asshole', 'cunt', 'fucking', 'asshole', 'whimsical', 'returns', 'legitimate', 'additions', 'prejudicial', 'nature', 'fuck', 'pathetic', 'existence']"
591,"['You', 'damned', 'black', 'god', 'shabby', 'penis', 'head', 'hit', 'head']"
592,"['Bastard', 'Jonathan', 'Pacheco', 'hate']"
593,"['hate', 'save', 'hate', 'hole']"
594,"['Fucking', 'shit', 'cock', 'fucking', 'Puer', 'mother', 'bitch', 'horse', 'fucking']"
595,"['still', 'son', 'bitch']"
596,"['damn', 'cock', 'Head', 'people', 'like', 'forbidden', 'work', 'trachea', 'first', 'learn', 'little', 'history', 'stop', 'propagating', 'propaganda']"
597,"['could', 'nice', 'even', 'suck', 'dick']"
598,"['Jew', 'get', 'Hurensohn', 'Jewish', 'rape', 'family', 'fuck', 'say', 'goodbye', 'Semitic', 'bastard', 'shoot', 'come', 'back', 'dirty', 'Semit', 'hope', 'choke', 'damn', 'Shalom', 'Bagle', 'choice', 'came', 'purely']"
599,"['Fuck', 'biggest', 'cunt', 'world', 'hell', 'think', 'deleted', 'page', 'great', 'project', 'existent', 'suitable', 'work', 'trachea', 'editor', 'stupid', 'son', 'dissatisfied', 'Abitch', 'hell', 'burn']"
600,"['Block', 'good', 'big', 'cock', 'take', 'little', 'heat', 'suck', 'tails', 'damn', 'stupid', 'trachea', 'nerd', 'hope', 'rot', 'hell', 'fuck', 'fuck', 'fuck', 'fuck', 'suck']"
601,"['please', 'die', 'favor', 'kill']"
602,"['Fuck', 'warning', 'fuck', 'mother', 'signed', 'ban', 'know', 'wrote', 'sloppy', 'asshole', 'fuck', 'warning', 'fuck', 'mother', 'already', 'signed', 'knows', 'written', 'sloppy', 'asshole', 'fuck', 'warning', 'fuck', 'mother', 'already', 'sign', 'ban', 'know', 'wrote', 'sloppy', 'asshole', 'fuck', 'warning', 'ban', 'mother', 'since', 'You', 'know', 'wrote', 'sloppy', 'asshole', 'fuck', 'warning', 'fuck', 'mother', 'sign', 'forbid', 'know', 'wrote', 'sloppy', 'asshole', 'warning', 'fuck', 'mother', 'signed', 'ban', 'know', 'wrote', 'sloppy', 'ass', 'fucking', 'warning', 'mother', 'writing', 'ban', 'know', 'wrote', 'ass', 'sloppy', 'cunt', 'fucks', 'avve', 'fuck', 'fuck', 'mother', 'already', 'signed', 'forbid', 'know', 'sloppy', 'asshole', 'fuck', 'warned', 'fuck', 'mother', 'sign', 'forbid', 'know', 'poor', 'Stronzo', 'wrote', 'warning', 'mom', 'fuck', 'sign', 'forbid', 'know', 'wrote', 'sloppy', 'asshole', 'fuck', 'warning', 'fuck', 'mom', 'sign', 'forbid', 'know', 'wrote', 'sloppy', 'asshole', 'fuck', 'warning', 'fuck', 'mother', 'boyfriend', 'sign', 'ban', 'know', 'wrote', 'sloppy', 'asshole', 'fuck', 'warning', 'fuck', 'mom', 'signed', 'forbid', 'know', 'sloppy', 'asshole', 'wrote', 'warning', 'mother', 'shit', 'sign', 'forbid', 'know', 'wrote', 'thissloppy', 'ass', 'fuck', 'warning', 'mom', 'signed', 'forbid', 'know', 'wrote', 'sloppy', 'asshole', 'fucks', 'warning', 'fuck', 'mom', 'signed', 'forbid', 'know', 'wrote', 'sloppy', 'asshole', 'fuck', 'admonition', 'fuck', 'mother', 'signed', 'forbid', 'know', 'wrote', 'sloppy', 'asshole', 'warning', 'fuck', 'mom', 'signed', 'forbid', 'wrote', 'sloppy', 'ass', 'fucked', 'notice', 'fuck', 'mom', 'forbid', 'know', 'wrote', 'sloppy', 'asshole', 'warning', 'mother', 'fucking', 'already', 'signed', 'stop', 'know', 'wrote', 'sloppy', 'asshole', 'warning', 'fuck', 'mom', 'And', 'fuck', 'sign', 'ban', 'know', 'critto', 'sloppy', 'asshole']"
603,"['Because', 'shit', 'rejected', 'cock']"
604,"['awesome', 'mah', 'GAD', 'dis', 'look', 'move', 'look', 'sooty', 'humid', 'funk', 'cud', 'dat', 'Caspar', 'dat', 'temple', 'www', 'really', 'nice', 'guy', 'never', 'ever', 'rape', 'moo', 'sexy', 'bod', 'carry', 'octoroon', 'venerable', 'mah', 'gad', 'sexy', 'niger', 'studs', 'strut', 'around', 'loosing', 'sex', 'makes', 'soon', 'humid', 'pious', 'Croatian', 'catholic', 'look', 'awesome', 'gad', 'mah', 'sprayed', 'round', 'eggs', 'adulation', 'calculation', 'stinky', 'croatian', 'devotee', 'pussy', 'catholic', 'beige', 'lord', 'cum', 'skimming', 'gutta', 'pussy', 'ova', 'chair', 'calculation', 'awesome', 'mah', 'gad', 'gain', 'mer', 'look', 'Home', 'fuck', 'nigger', 'Rape', 'awwwwwwwwwwwwwwwwwwwwwwwww', 'mah', 'gad', 'drooler', 'stinky', 'mouse', 'mah', 'pussy', 'awwwwwwwwwwwwwwwwww', 'wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww', 'wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww', 'please', 'special', 'capsule', 'listen', 'FONT', 'manna', 'raped', 'character', 'rape', 'big', 'tits', 'Scheherazade', 'Virgin']"
605,"['Asshole', 'half', 'horned', 'devil']"
606,"['Someone', 'told', 'feel', 'like', 'sucking', 'many', 'cocks', 'relaxed', 'sucking', 'much', 'cock', 'said', 'lead', 'temporary', 'psychosis']"
607,"['Puttanella', 'son', 'bitch', 'bottom', 'line', 'devil', 'puts', 'hell', 'wise', 'hate', 'fans', 'nerds', 'think', 'stupid', 'jokes', 'funny', 'die', 'rot', 'hell']"
608,"['selfish', 'shy', 'even', 'control', 'pet', 'store', 'let', 'alone', 'nation', 'claims', 'main', 'force', 'war', 'terrorism', 'war', 'terrorism', 'happy', 'What', 'proved', 'world', 'dubious', 'authority', 'People', 'control', 'know', 'exactly', 'world', 'life', 'longer', 'watching', 'life', 'forms', 'meet', 'Take', 'first', 'step', 'today', 'make', 'difference', 'religion', 'created', 'man', 'cuts', 'ties', 'human', 'authority', 'All', 'explanation', 'child', 'God', 'The', 'religion', 'world', 'life', 'considers', 'life', 'religion', 'religion', 'life', 'simple', 'Judaism', 'Catholicism', 'English', 'Mexican', 'even', 'rich', 'poor', 'except', 'Work', 'human', 'beings', 'must', 'take', 'care', 'earth', 'reap', 'fruits', 'life', 'fair', 'complete', 'freedom', 'economic', 'freedom', 'given', 'democracy', 'democracy', 'forgotten', 'God', 'life', 'claim', 'anything', 'silly', 'man', 'made', 'religions', 'get', 'members', 'strengthen', 'power', 'love', 'forever', 'live', 'forever', 'joe', 'melcher', 'book', 'life']"
609,"['Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'Fick', 'Luf', 'tröhre', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'Fick', 'indpipe', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'cazzo', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'fick', 'trachea', 'fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'fick', 'trachea', 'ick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'cazzo', 'trachea', 'trachea', 'cazzo', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'windpipefick', 'windpipefick', 'windpipefick', 'windpipefick', 'windpipefick', 'windpipefick', 'windpipefick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'fuck', 'fuck', 'trachea', 'trachea', 'Fick', 'Luftröhr', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea', 'Fick', 'trachea']"
610,"['You', 'Jack', 'Greenmail', 'sons', 'bitch']"
611,"['okay', 'okay', 'okay', 'first', 'fuck', 'second', 'second', 'stop', 'crease', 'font', 'perms', 'forbid', 'bend', 'fold', 'fold', 'take', 'trash', 'make', 'fly']"
612,"['Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'farti', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'farti', 'fottere', 'farti', 'fottere', 'cazzo', 'anche', 'vaffanculo', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'cazzo', 'Fuck', 'Yourself', 'farti', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'farti', 'fottere', 'andare', 'farsi', 'fottere', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'andare', 'soli', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'cazzo', 'dic', 'anche', 'farti', 'fottere', 'fottiti', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'stessi', 'Fuck', 'Yourself', 'Fuck', 'stessi', 'Fuck', 'Yourself', 'Fuck', 'stessi', 'Fuck', 'Yourself', 'Fuck', 'stessi', 'Fuck', 'Yourself', 'Fuck', 'stessi', 'Fuck', 'Yourself', 'Fuck', 'stessi', 'Fuck', 'Fuck', 'Yourself', 'andare', 'anche', 'cazzo', 'andate', 'andate', 'cazzo', 'cazzo', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'cazzo', 'vai', 'vai', 'farti', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'fuck', 'fuck', 'andate', 'andate', 'affanculo', 'cazzo', 'cazzo', 'andare', 'soli', 'farsi', 'fottere', 'fottere', 'Fuck', 'Yourself', 'farti', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'farti', 'fottere', 'fottere', 'farti', 'fottere', 'cazzo', 'vai', 'farti', 'fottere', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'vai', 'farti', 'fottere', 'santo', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'rself', 'farti', 'fottere', 'Fuck', 'vai,', 'vai', 'fuck', 'fuck,', 'Fuck', 'Yourself', 'vanno', 'anche', 'farti', 'fottere', 'Fuck', 'andare', 'farsi', 'fottere', 'Fuck', 'Fuck', 'Yourself', 'Fuck', 'Fuck', 'cazzo', 'Fuck', 'andare', 'soli', 'farsi', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'farti', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'farti', 'fottere', 'andare', 'farsi', 'fottere', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'cazzo', 'andare', 'soli', 'farsi', 'fottere', 'fottere', 'Fuck', 'Yourself', 'farti', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'farti', 'fottere', 'farti', 'fottere', 'cazzo', 'vai', 'farti', 'fottere', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'cazzo', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'fuck', 'fuck', 'soli', 'andare', 'farsi', 'fottere', 'fottere', 'andare', 'farti', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'cazzo', 'Fuck', 'Yourself', 'farti', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'farti', 'fottere', 'Fuck', 'Yourself', 'farti', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'anche', 'andare', 'farti', 'fottere', 'Fuck', 'andare', 'farsi', 'fottere', 'Fuck', 'andare', 'farsi', 'fottere', 'Fuck', 'Fuck', 'Yourself', 'Fuck', 'stessi', 'andate', 'fuck', 'fuck', 'soli', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'vai', 'farti', 'fottere', 'andare', 'farti', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'anche', 'andare', 'farti', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'andare', 'soli', 'farti', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'cazzo', 'andare', 'soli', 'farsi', 'fottere', 'cazzo', 'andare', 'soli', 'farsi', 'fottere', 'fottere', 'fottere', 'cazzo', 'farti', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'fottere', 'farti', 'fottere', 'cazzo', 'vai', 'farti', 'fottere', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'Fuck', 'Yourself', 'vai', 'farti', 'fottere,', 'vai', 'fanculo']"
613,"['hey', 'ars', 'hole', 'font', 'something', 'better', 'eat', 'dive', 'fake', 'illy', '223', '244', '183']"
614,"['yawn', 'fuck', 'stupid', 'cunt', 'buuuuuuuuuuuuuuuured', 'finished', 'Dodge', 'Charger', 'zzzzzzzzzzzzzzzzz', 'yawn', 'damn', 'stupid', 'stupid', 'move', 'block', 'isp', 'shit', 'yawn', 'fucking', 'stupid', 'takes', 'make', 'Dint', 'away', 'admit', 'defeat', 'much', 'pride', 'want', 'see', 'picture', 'real', 'Texan', 'night', 'night', 'hole', 'ass', 'cousin']"
615,"['Bastard', 'fat', 'bastard', 'managed', 'end', 'death', 'throat', 'air', 'group', 'returned', 'blood', 'blood', 'sight', 'glory', 'fattening', 'bastard', 'history', 'going', 'diet']"
616,"['Hey', 'fag', 'already', 'dead', 'look', 'raped', 'pigs']"
617,"['What', 'hell', 'going', 'even', 'know', 'try', 'fix', 'use', 'second', 'account', 'permanently', 'fucking', 'Indian', 'playing', 'fucking', 'game', 'pretending', 'like', 'shit', 'Page', 'knew', 'something', 'wrong', 'assholes', 'saw', 'first', 'time', 'think', 'need', 'leave', 'account', 'You', 'still', 'learn', 'read', 'links', 'think', 'forgotten', 'sin', 'using', 'different', 'account', 'even', 'know', 'like', 'first', 'got', 'stuck', 'keep', 'playing', 'keep', 'changing', 'piece', 'shit', 'think', 'forgot', 'year', 'problems', 'someone', 'tries', 'fixes', 'problems', 'precious', 'cast', 'dreams', 'Punk', 'ass', 'bitch', 'Lola', 'probably', 'number', 'account', 'After', 'understood', 'program', 'used', 'first', 'account', 'impressed', 'much', 'damage', 'done', 'make', 'account', 'mean', 'anything', 'still', 'work', 'personal', 'internet', 'every', 'day', 'idea', 'also', 'try', 'point', 'idiots', 'proxy', 'public', 'account', 'via', 'personal', 'link', 'appeal', 'maybe', 'get', 'account', 'back', 'idiots', 'forbid', 'know', 'exactly', 'wait', 'disconnected', 'crashes', 'new', 'account', 'Unfortunately', 'shit', 'discussion', 'page', 'considers', 'admen', 'held', 'see', 'many', 'accounts', 'proxies', 'real', 'connections', 'give', 'smell', 'rotten', 'fish', 'hiding', 'bit', 'someone', 'perceives', 'shit', 'clean', 'shit', 'wait', 'second', 'something', 'else', 'kind', 'late', 'adamans', 'bunch', 'almost', 'accounts', 'pretend', 'proxies', 'one', 'behaves', 'seen', 'story', 'use', 'real', 'one', 'The', 'connection', 'brain', 'damage', 'bravely', 'warn', 'undefined', 'jam', 'What', 'notice', 'year', 'old', 'boy', 'would', 'noticed', 'someone', 'would', 'frustrated', 'stupidity', 'nonsense', 'would', 'appeal', 'something', 'tells', 'many', 'crap', 'backdated', 'dating', 'make', 'impossible', 'would', 'rather', 'use', 'another', 'account', 'real', 'connection', 'personal', 'internet', 'probably', 'idiot', 'deleted', 'fun', 'aspect', 'page', 'shit', 'nothing', 'clicked', 'top', 'note', 'stay', 'away', 'sites', 'low', 'level', 'video', 'games', 'popular', 'ones', 'get', 'tired', 'fact', 'also', 'know', 'people', 'account', 'post', 'little', 'posting', 'post', 'saw', 'exactly', 'guys', 'help', 'believe', 'guy', 'incredible', 'whole', 'second', 'clear', 'page', 'leave', 'message', 'Delete', 'extra', 'crap', 'right', 'place', 'know', 'store', 'know', 'probably', 'bulls', 'one', 'trolling', 'unlikely', 'mail', 'request', 'come', 'clean', 'account', 'feeling', 'sinking', 'Everyone', 'knew', 'happening', 'time', 'patience', 'look', 'lot', 'pages', 'find', 'contact', 'talk', 'block', 'account', 'get', 'suck', 'time', 'day', 'probably', 'continue', 'amount', 'days', 'think', 'think', 'funny', 'yes', 'list', 'troll', 'official', 'list', 'entwe', 'trolls', 'nothing', 'better', 'users', 'actually', 'stupid', 'thing', 'happens', 'way', 'realize', 'something', 'shitty', 'posted', 'notice', 'page', 'treat', 'two', 'several', 'times', 'seems', 'like', 'something', 'make', 'accounts', 'try', 'let', 'people', 'know', 'act', 'like', 'summaries', 'like', 'make', 'healthy', 'admissions', 'send', 'message', 'private', 'conversation', 'try', 'things', 'open', 'account', 'meantime', 'post', 'second', 'account', 'seems']"
618,"['How', 'fuck']"
619,"['What', 'mean', 'great', 'fucking', 'idiot', 'know', 'talking']"
620,"['fuck', 'Billet', 'kill', 'Billet', 'hate', 'killing', 'fucking', 'big', 'fat', 'ticket', 'kill', 'Billet', 'kill', 'stick', 'ass', 'kill', 'big', 'fat', 'cock', 'kill', 'ass', 'kill', 'Billet', 'fuck', 'Billet', 'kill', 'ass', 'kill', 'Billet', 'kill', 'Billet', 'Hate', 'kill', 'Billet', 'avenge', 'hard', 'head', 'kill', 'ass']"
621,"['What', 'fucking', 'laugh', 'laugh', 'sweet', 'white', 'ass']"
622,"['martin', 'conway', 'sucks', 'cock', 'men', 'bathroom', 'hahahahahhahahahahahahahhahahahahaha', 'dirty', 'homo']"
623,"['stupid', 'pussy', 'fucked', 'mother', 'last', 'night', 'hope', 'die']"
624,"['Why', 'get', 'cut', 'June', '2005']"
625,"['hey', 'stop', 'dropping', 'page', 'You', 'really', 'need', 'old', 'fat', 'man', 'lifeless', 'deleting', 'perfectly', 'refined', 'article', 'several', 'times', 'busy', 'life', 'stop', 'trolling', 'trachea', 'mean', 'seriously', 'trachea', 'life']"
626,"['stop', 'dam', 'dam', 'dam', 'dam', 'dam', 'sucks', 'standardize', 'dam', 'standardize', 'poor', 'dam', 'dam', 'dam', 'dam', 'sucks', 'standardize', 'dam', 'dam', 'dam', 'sucks', 'standardize', 'dam', 'dam', 'dam', 'closed', 'cock', 'closed', 'cock', 'closed', 'cock', 'mouth', 'closed', 'cock', 'Sta', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'fucking', 'mouth', 'shut', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'damn', 'stop', 'damn', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'close', 'cock', 'shit', 'shit', 'fuck', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shit', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'FUC', 'close', 'close', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'shut', 'dam', 'dam', 'dam', 'dam', 'dam', 'poor', 'dam', 'standardize', 'dam', 'bad', 'standardize', 'dam', 'dam', 'dam', 'sucks', 'standardize', 'dam', 'dam', 'dam', 'sucks', 'standardize', 'dam', 'dam', 'dam', 'closed', 'beak', 'closed', 'beak', 'closed', 'accident']"
627,"['fuck', 'fuck', 'fuck', 'fuck']"
628,"['Hey', 'fuck', 'black', 'whore', 'removing', 'completely', 'wrong', 'information', 'forbids', 'waiting']"
629,"['true', 'speak', 'damned', 'poo', 'come', 'stab', 'sleep', 'watch', 'bleed', 'death', 'cry', 'laugh']"
630,"['Fottiti,', 'Buckinghamshire']"
631,"['fuck', 'poor', 'britain', 'shitttttttttttttttttttttttttttttt']"
632,"['johnson170', 'son', 'bitch', 'dog', 'mother', 'whore', 'son', 'eats']"
